eom,target_month,mask,loss,baseline_loss,delta_abs,delta_rel,importance,rank
2017-03-31,2017-04-30,LowLeverage,3.101516526874762,3.093298882887856,0.008217643986906165,0.002656595530540618,0.07643129745592078,4.0
2017-03-31,2017-04-30,Investment,3.1009394516491913,3.093298882887856,0.007640568761335231,0.0024700389618355,0.07106399165752733,5.0
2017-03-31,2017-04-30,Accruals,3.079123109051883,3.093298882887856,-0.014175773835972905,-0.0045827365452440925,0.0,6.0
2017-03-31,2017-04-30,DebtIssuance,3.0875937455248206,3.093298882887856,-0.005705137363035462,-0.00184435373982007,0.0,7.0
2017-03-31,2017-04-30,ProfitGrowth,3.088634751270407,3.093298882887856,-0.004664131617448941,-0.0015078179619987383,0.0,8.0
2017-03-31,2017-04-30,Profitability,3.0798793821612893,3.093298882887856,-0.013419500726566724,-0.004338248980983851,0.0,9.0
2017-03-31,2017-04-30,Seasonality,3.0730306951937636,3.093298882887856,-0.020268187694092443,-0.006552288822207306,0.0,10.0
2017-03-31,2017-04-30,ShortTermReversal,3.079932456526992,3.093298882887856,-0.013366426360863937,-0.00432109112857056,0.0,11.0
2017-03-31,2017-04-30,Size,3.077560902392348,3.093298882887856,-0.015737980495508008,-0.005087765874345538,0.0,12.0
2017-03-31,2017-04-30,Value,3.0556629990293622,3.093298882887856,-0.03763588385849381,-0.01216690830190891,0.0,13.0
2017-03-31,2017-04-30,ALL,3.093298882887856,3.093298882887856,0.0,0.0,0.0,
2017-04-30,2017-05-31,Value,3.3447229456826215,3.2208927785831674,0.12383016709945416,0.0384459141027121,0.4014751285808577,1.0
2017-04-30,2017-05-31,LowRisk,3.3060185201554426,3.2208927785831674,0.08512574157227526,0.026429237923815976,0.2759898403094436,2.0
2017-04-30,2017-05-31,Momentum,3.268274274685298,3.2208927785831674,0.047381496102130605,0.01471067165513444,0.15361759323702104,3.0
2017-04-30,2017-05-31,Quality,3.254657947722171,3.2208927785831674,0.033765169139003515,0.010483170803921145,0.10947151198421987,4.0
2017-04-30,2017-05-31,ShortTermReversal,3.2345994288119613,3.2208927785831674,0.013706650228793915,0.004255543779642149,0.04443892221027405,5.0
2017-04-30,2017-05-31,LowLeverage,3.224253985456041,3.2208927785831674,0.0033612068728734457,0.001043563727182499,0.010897513853711642,6.0
2017-04-30,2017-05-31,DebtIssuance,3.2221600028281254,3.2208927785831674,0.001267224244958065,0.0003934388171454444,0.004108522410994648,7.0
2017-04-30,2017-05-31,Size,3.2208930769702007,3.2208927785831674,2.9838703330398175e-07,9.26410948194428e-08,9.674134774151073e-07,8.0
2017-04-30,2017-05-31,Accruals,3.217135183722173,3.2208927785831674,-0.003757594860994473,-0.0011666314650335533,0.0,9.0
2017-04-30,2017-05-31,Investment,3.2129392715176714,3.2208927785831674,-0.007953507065495913,-0.002469348597501146,0.0,10.0
2017-04-30,2017-05-31,ProfitGrowth,3.2142289198680105,3.2208927785831674,-0.006663858715156845,-0.002068947702782021,0.0,11.0
2017-04-30,2017-05-31,Profitability,3.2154544711960606,3.2208927785831674,-0.005438307387106711,-0.0016884471980153771,0.0,12.0
2017-04-30,2017-05-31,Seasonality,3.2199798324622213,3.2208927785831674,-0.0009129461209460565,-0.0002834450519485007,0.0,13.0
2017-04-30,2017-05-31,ALL,3.2208927785831674,3.2208927785831674,0.0,0.0,0.0,
2017-05-31,2017-06-30,Quality,3.110169219171918,3.0545236199985406,0.0556455991733773,0.01821743947535881,0.615590013214453,1.0
2017-05-31,2017-06-30,LowLeverage,3.077219656557065,3.0545236199985406,0.02269603655852448,0.0074303031772055255,0.25107921655127396,2.0
2017-05-31,2017-06-30,Momentum,3.0623419515816086,3.0545236199985406,0.007818331583067994,0.0025595911362020275,0.08649177857785464,3.0
2017-05-31,2017-06-30,ProfitGrowth,3.058757580425852,3.0545236199985406,0.004233960427311612,0.0013861279053764969,0.046838991656418465,4.0
2017-05-31,2017-06-30,Accruals,3.0432781400804907,3.0545236199985406,-0.011245479918049917,-0.003681582242292593,0.0,5.0
2017-05-31,2017-06-30,DebtIssuance,3.053365901917506,3.0545236199985406,-0.0011577180810347087,-0.00037901755725668995,0.0,6.0
2017-05-31,2017-06-30,Investment,3.0330315049702437,3.0545236199985406,-0.021492115028296954,-0.007036159382623214,0.0,7.0
2017-05-31,2017-06-30,LowRisk,3.037920069073995,3.0545236199985406,-0.016603550924545463,-0.005435725170314249,0.0,8.0
2017-05-31,2017-06-30,Profitability,3.0336965072771327,3.0545236199985406,-0.020827112721407914,-0.006818448737815903,0.0,9.0
2017-05-31,2017-06-30,Seasonality,3.0271755348052714,3.0545236199985406,-0.027348085193269256,-0.008953306176523304,0.0,10.0
2017-05-31,2017-06-30,ShortTermReversal,3.0116077921934346,3.0545236199985406,-0.042915827805106055,-0.014049925010933967,0.0,11.0
2017-05-31,2017-06-30,Size,3.0459086344298205,3.0545236199985406,-0.00861498556872009,-0.0028204023410773973,0.0,12.0
2017-05-31,2017-06-30,Value,2.927207930408333,3.0545236199985406,-0.12731568959020745,-0.04168102965603136,0.0,13.0
2017-05-31,2017-06-30,ALL,3.0545236199985406,3.0545236199985406,0.0,0.0,0.0,
2017-06-30,2017-07-31,LowRisk,3.1559894899952257,3.139650305506196,0.016339184489029712,0.005204141512312594,0.2892836830467421,1.0
2017-06-30,2017-07-31,LowLeverage,3.153448970372217,3.139650305506196,0.013798664866020882,0.004394968714133967,0.24430402853032762,2.0
2017-06-30,2017-07-31,Quality,3.1534207122723057,3.139650305506196,0.013770406766109744,0.004385968316904511,0.2438037216010751,3.0
2017-06-30,2017-07-31,ProfitGrowth,3.152223577540876,3.139650305506196,0.012573272034679839,0.004004672753723345,0.22260856682185512,4.0
